date,region,deaths,cases
2020-03-18T17:00:00,Friuli Venezia Giulia,31,462
2020-03-18T17:00:00,Lazio,32,724
2020-03-18T17:00:00,Liguria,73,887
2020-03-18T17:00:00,Lombardia,1959,17713
2020-03-18T17:00:00,Marche,92,1568
2020-03-18T17:00:00,Molise,1,28
2020-03-18T17:00:00,P.A. Bolzano,9,376
2020-03-18T17:00:00,P.A. Trento,7,455
2020-03-18T17:00:00,Piemonte,154,2341
2020-03-18T17:00:00,Puglia,19,383
2020-03-18T17:00:00,Sardegna,2,134
2020-03-18T17:00:00,Sicilia,3,282
2020-03-18T17:00:00,Toscana,22,1330
2020-03-18T17:00:00,Umbria,2,247
2020-03-18T17:00:00,Valle d'Aosta,3,165
2020-03-18T17:00:00,Veneto,94,3214
2020-03-19T17:00:00,Abruzzo,11,385
2020-03-19T17:00:00,Basilicata,0,37
2020-03-19T17:00:00,Calabria,3,169
2020-03-19T17:00:00,Campania,17,652
2020-03-19T17:00:00,Emilia-Romagna,531,5214
2020-03-19T17:00:00,Friuli Venezia Giulia,36,599
2020-03-19T17:00:00,Lazio,38,823
2020-03-19T17:00:00,Liguria,91,1059
2020-03-19T17:00:00,Lombardia,2168,19884
2020-03-19T17:00:00,Marche,115,1737
2020-03-19T17:00:00,Molise,2,46
2020-03-19T17:00:00,P.A. Bolzano,14,436
2020-03-19T17:00:00,P.A. Trento,12,523
2020-03-19T17:00:00,Piemonte,175,2932
2020-03-19T17:00:00,Puglia,25,478
2020-03-19T17:00:00,Sardegna,2,206
2020-03-19T17:00:00,Sicilia,4,340
2020-03-19T17:00:00,Toscana,38,1482
2020-03-19T17:00:00,Umbria,2,334
2020-03-19T17:00:00,Valle d'Aosta,6,215
2020-03-19T17:00:00,Veneto,115,3484
2020-03-20T17:00:00,Abruzzo,17,449
2020-03-20T17:00:00,Basilicata,0,52
2020-03-20T17:00:00,Calabria,4,207
2020-03-20T17:00:00,Campania,17,749
2020-03-20T17:00:00,Emilia-Romagna,640,5968
2020-03-20T17:00:00,Friuli Venezia Giulia,38,656
2020-03-20T17:00:00,Lazio,43,1008
2020-03-20T17:00:00,Liguria,119,1221
2020-03-20T17:00:00,Lombardia,2549,22264
2020-03-20T17:00:00,Marche,137,1981
2020-03-20T17:00:00,Molise,5,50
2020-03-20T17:00:00,P.A. Bolzano,17,548
2020-03-20T17:00:00,P.A. Trento,13,642
2020-03-20T17:00:00,Piemonte,209,3461
2020-03-20T17:00:00,Puglia,26,581
2020-03-20T17:00:00,Sardegna,2,293
2020-03-20T17:00:00,Sicilia,4,408
2020-03-20T17:00:00,Toscana,47,1793
2020-03-20T17:00:00,Umbria,7,395
2020-03-20T17:00:00,Valle d'Aosta,7,264
2020-03-20T17:00:00,Veneto,131,4031
2020-03-21T17:00:00,Abruzzo,22,529
2020-03-21T17:00:00,Basilicata,0,66
2020-03-21T17:00:00,Calabria,5,235
2020-03-21T17:00:00,Campania,22,844
2020-03-21T17:00:00,Emilia-Romagna,715,6705
2020-03-21T17:00:00,Friuli Venezia Giulia,42,790
2020-03-21T17:00:00,Lazio,50,1190
2020-03-21T17:00:00,Liguria,152,1436
2020-03-21T17:00:00,Lombardia,3095,25515
2020-03-21T17:00:00,Marche,154,2153
2020-03-21T17:00:00,Molise,7,61
2020-03-21T17:00:00,P.A. Bolzano,20,621
2020-03-21T17:00:00,P.A. Trento,28,782
2020-03-21T17:00:00,Piemonte,238,3752
2020-03-21T17:00:00,Puglia,29,675
2020-03-21T17:00:00,Sardegna,4,330
2020-03-21T17:00:00,Sicilia,6,490
2020-03-21T17:00:00,Toscana,72,2012
2020-03-21T17:00:00,Umbria,10,462
2020-03-21T17:00:00,Valle d'Aosta,8,313
2020-03-21T17:00:00,Veneto,146,4617
2020-03-22T17:00:00,Abruzzo,33,587
2020-03-22T17:00:00,Basilicata,0,81
2020-03-22T17:00:00,Calabria,8,273
2020-03-22T17:00:00,Campania,29,936
2020-03-22T17:00:00,Emilia-Romagna,816,7555
2020-03-22T17:00:00,Friuli Venezia Giulia,47,874
2020-03-22T17:00:00,Lazio,53,1383
2020-03-22T17:00:00,Liguria,171,1665
2020-03-22T17:00:00,Lombardia,3456,27206
2020-03-22T17:00:00,Marche,184,2421
2020-03-22T17:00:00,Molise,7,66
2020-03-22T17:00:00,P.A. Bolzano,23,678
2020-03-22T17:00:00,P.A. Trento,35,954
2020-03-22T17:00:00,Piemonte,283,4420
2020-03-22T17:00:00,Puglia,31,786
2020-03-22T17:00:00,Sardegna,7,339
2020-03-22T17:00:00,Sicilia,8,630
2020-03-22T17:00:00,Toscana,91,2277
2020-03-22T17:00:00,Umbria,16,521
2020-03-22T17:00:00,Valle d'Aosta,9,364
2020-03-22T17:00:00,Veneto,169,5122
2020-03-23T17:00:00,Abruzzo,38,663
2020-03-23T17:00:00,Basilicata,1,90
2020-03-23T17:00:00,Calabria,7,292
2020-03-23T17:00:00,Campania,49,1026
